,hotel_name,latitude,longitude,city_name,address_lines,search_city
724,La Clef Champs-Elysees Paris,48.87046,2.29915,Paris,44-46 Rue De Bassano,Paris
725,Hotel Claret Bercy,48.8399,2.38157,Paris,44 Boulevard De Bercy,Paris
726,Hotel Lena,48.87776,2.35501,Paris,"98, Boulevard De Magenta",Paris
727,Bw Premier The Blake Paris,48.88033,2.31955,Paris,18 Rue De Constantinople,Paris
728,Jacques De Molay,48.86357,2.36079,Paris,94 Rue Des Archives,Paris
729,Campanile Paris Est - Bobigny,48.90588,2.45753,Bobigny,"304, Avenue, Paul-Vaillant Couturier",Paris
730,Sejours Affaires Malakoff,48.81915,2.30378,Malakoff,120 Boulevard Gabriel Peri,Paris
731,Hotel Fior D Aliza,48.87676,2.3391,Paris,39 Rue Lamartine,Paris
732,Hotel Grands Hommes,48.84572,2.34502,Paris,17 Place Du Pantheon,Paris
733,Campanile Nature - Les Ulis,48.67722,2.19465,Les Ulis,10 Avenue Des Andes,Paris
734,Hotel Du Quai De Seine,48.88726,2.37324,Paris,Passage De Flandre 3,Paris
735,Hotel Touraine,48.87635,2.33531,Paris,73 Rue Taitbout,Paris
736,Hotel Du Printemps,48.84615,2.40178,Paris,80 Boulevard De Picpus,Paris
737,Adagio Access Paris Reuilly,48.8496,2.37235,Paris,13 Rue De Reuilly,Paris
738,Aparthotel Adagio Access Paris Asnieres,48.916,2.28898,Asnieres Sur Seine,16 Rue Des Freres Chausson,Paris
739,Hotel Antin Trinite,48.87434,2.3321,Paris,74 Rue De Provence,Paris
740,De Fleurie,48.85237,2.33752,Paris,32 Rue Gregoire De Tours,Paris
741,B&B Hotel Cergy Port,49.03449,2.07215,Cergy-Pontoise Cedex,"3, Avenue Du Parc",Paris
742,Ibis Paris Gennevilliers,48.92585,2.29088,Gennevilliers,32 Rue Louis Calmel,Paris
743,Le Littre Hotel,48.84543,2.32407,Paris,9 Rue Littre,Paris
744,Ibis Styles Paris Saint Lazare,48.8797,2.321,Paris,9 Rue De Constantinople,Paris
745,Motel One Paris-Porte Doree,48.8346,2.40972,Paris,295 Avenue Daumesnil,Paris
746,Timhotel Tour Eiffel,48.85019,2.29225,Paris,11 Rue Juge,Paris
747,Campanile Nature - Sannois Ermont,48.98161,2.24291,Sannois Ermont,Rue Des Loges,Paris
748,Le Card Hotel,48.88537,2.3114,Paris,104 Rue De Cardinet,Paris
749,Residence Cadet,48.87474,2.34275,Paris,7 Rue Cadet,Paris
750,All Suites Appart Hotel Palaiseau Massy,48.72173,2.24786,Palaiseau,25 Avenue Des Allies,Paris
751,Hotel Virgina,48.82398,2.32746,Paris,66 Rue Du Pere Corentin,Paris
752,Hotel Francois 1Er,48.87024,2.29995,Paris,7 Rue Magellan,Paris
753,De L Horloge,48.86534,2.38334,Paris,"25, Passage De Menilmontant",Paris
754,Bezons Paris La Defense,48.92401,2.21729,Bezons,11 Rue Ethel Et Julius Rosenberg,Paris
755,Mercure Paris Notre Dame St Germain,48.8503,2.34506,Paris,20 Rue Du Sommerard,Paris
756,Best Western Hotel Le Montparnasse,48.84497,2.32124,Paris,37 Boulevard Du Montparnasse,Paris
757,B&B Hotel Meaux,48.95673,2.90659,Meaux,5 Avenue De La Victoire,Paris
758,Hotel Ami,48.8413,2.30276,Paris,7 Rue Du General Beuret,Paris
759,Residhome Monceau,48.90738,2.26096,Bois Colombes,3 Place De La Renaissance,Paris
760,Bohem Sacre Coeur,48.88986,2.33899,Paris,53 Bis Rue Lamarck,Paris
761,Hotel Saint Louis De Pigalle,48.88237,2.33466,Paris,6 Rue Fromentin,Paris
762,Gabriel Issy-Paris,48.8278,2.27321,Issy-Les-Moulineaux,32 Boulevard Des Freres Voisin,Paris
763,Mercure Paris Gare De Lyon,48.8445,2.37293,Paris,2 Place Louis Armand,Paris
764,Westside Arc De Triomphe,48.88126,2.29473,Paris,36 Rue Pierre Demours,Paris
765,Ibis Budget L'Isle Adam,49.12567,2.25049,L'Isle Adam,"Centre Commercial Le Grand Val, Zac Du Pont Aux Rayons",Paris
766,Okko Hotels Paris Gare De L'Est,48.8775,2.3582,Paris,"""30A Rue DAlsace""",Paris
767,Ibis Styles Saint Denis Pleyel,48.92889,2.34025,Paris,2 Quai De St Ouen,Paris
768,Mercure Paris Boulogne,48.8337,2.25647,Boulogne Billancourt,37 Place Rene Clair,Paris
769,Panache,48.8732,2.34313,Paris,1 Rue Geoffroy Marie,Paris
770,Le Mathurin,48.87325,2.32398,Paris,43 Rue Des Mathurins,Paris
771,Charing Cross Hotel,48.87485,2.32375,Paris,39 Rue Pasquier,Paris
772,Apollon Montparnasse Hotel,48.83474,2.31703,Paris,91 Rue De L Ouest,Paris
773,Hotel Montalembert,48.86285,2.31324,Paris,3 Rue Montalembert,Paris
774,Appartcity Paris Clichy,48.90207,2.30724,Clichy-La-Garenne,4  Rue Palloy,Paris
775,9Confidentiel,48.85687,2.35625,Paris,58 Rue Du Roi De Sicile,Paris
776,Ibis Styles Paris La Defense Courbevoie,48.8974,2.24708,Courbevoie,99 Rue Du Capitaine Guynemer,Paris
777,Hotel Inn Paris Place D Italie,48.83166,2.35733,Paris,178 Bd Vincent Auriol,Paris
778,Hotel Saint Dominique 62,48.85994,2.30875,Paris,"62, Rue Saint Dominique",Paris
780,Mercure Paris Eiffel Mirabeau,48.8461,2.27888,Paris,10 Avenue Emile Zola,Paris
781,Hotel Pley,48.87561,2.30406,Paris,214 Rue Du Faubourg Saint Honore,Paris
782,Mercure Paris Ouest St Germain,48.90307,2.09334,Saint Germain En Laye,11 Avenue Des Loges,Paris
783,Scarlett,48.87322,2.38278,Paris,1 Rue Jouye Rouve,Paris
785,O Lysee Hotel,48.87057,2.30758,Paris,7 Rue Du Colisee,Paris
786,Esprit Saint Germain,48.85146,2.33644,Paris,22 Rue Saint Sulpice,Paris
787,Novotel Paris 13 Porte D'Italie,48.81605,2.36432,Le Kremlin Bicetre,"22 Rue Voltaire, Building A",Paris
788,Campanile Crteil Bonneuil,48.77058,2.49167,Bonneuil Sur Marne Cretei,"2, Av Des Bleuets Za Des Petits Carreaux",Paris
789,Campanile Nature - Epone,48.95986,1.81579,Epone,Avenue Du Chemin Mauldre,Paris
790,Plaza Tour Eiffel,48.86452,2.28225,Paris,32 Rue Greuze,Paris
791,Les Jardins De Mademoiselle,48.84364,2.29474,Paris,15 Rue De Mademoiselle,Paris
792,Chateau Des Fleurs,48.87177,2.29839,Paris,19 Rue Vernet,Paris
793,Hotel Villeneuve La Garenne,48.94071,2.32462,Villeneuve La Garenne,"80 Boulevard Charles De Gaulle, Chemin Du Bucher",Paris
794,Le Narcisse Blanc Hotel Spa,48.86054,2.31034,Paris,19 Boulevard De La Tour Maubourg,Paris
795,B&B Hotel Meaux Nanteuil-Les-Meaux,48.94674,2.88024,Nanteuil-Les-Meaux,2 Rue Du Typographe,Paris
796,Campanile Senlis,49.20802,2.60475,Senlis,Route Nationale 324,Paris
797,Hotel Floride Etoile,48.86625,2.28788,Paris,14 Rue Saint Didier,Paris
798,Maison Monceau,48.88228,2.305,Paris,38 Rue Cardinet,Paris
799,Best Western Seine West Hotel,48.87896,2.24287,Puteaux,19-20 Quai De Dion Bouton,Paris
800,Mayflower Hotel,48.88137,2.32349,Paris,34 Rue De Moscou,Paris
801,Hotel Aston,48.87182,2.34492,Paris,12 Cite Bergere,Paris
802,Mistral,48.83691,2.32383,Paris,"24, Rue Cels",Paris
803,Hotel 34B,48.87266,2.34358,Paris,34 Rue Bergere,Paris
804,Pavillon Des Gatines,48.80219,1.97735,Plaisir,46 Ter Rue Pierre Curie,Paris
805,Hotel Bobigny Centre Prefecture,48.9062,2.45642,Bobigny,302 Av Paul-Vaillant-Couturier,Paris
806,Premiere Classe Mlv - Torcy,48.83388,2.66054,Torcy,Rue Anne Franck,Paris
807,Nh Paris Opera Faubourg,48.87536,2.34147,Paris,49-51 Rue La Fayette,Paris
808,Hotel Prince Albert Wagram,48.88649,2.31229,Paris,28 Passage Cardinet,Paris
809,Mercure Paris 19 Philharmonie Lavillette,48.88884,2.39424,Paris,216 Avenue Jean Jaures,Paris
810,B&B Hotel Paris 17 Batignolles,48.89432,2.31239,Paris,4 Boulevard Berthier,Paris
811,Hotel Galileo,48.87133,2.29823,Paris,54 Rue Galilee,Paris
812,Les Jardins D Eiffel,48.85916,2.30744,Paris,8 Rue Amelie,Paris
813,Htl De Suede St Germain,48.85256,2.31917,Paris,31 Rue Vaneau,Paris
814,Hotel Pavillon Monceau,48.88534,2.30792,Paris,43 Rue Jouffroy D Abbans,Paris
815,Campanile Paris Est Porte De Bagnolet,48.86534,2.41671,Bagnolet,"28 Avenue Du General De Gaulle, B.L. 311",Paris
816,Hotel Palm - Astotel,48.87749,2.34344,Paris,30 Rue De Maubeuge,Paris
817,Citadines Gare De Lyon Paris,48.84626,2.3838,Paris,"14-18, Rue De Chaligny",Paris
818,Ibis Budget Marne La Vallee Pontault,48.79922,2.62573,Pontault Combault,"Parc Des Activit Des Arpents, Rue Des Cygnes",Paris
819,Odeon Hotel,48.85143,2.33881,Paris,3 Rue De L Odeon,Paris
820,Mercure Malakoff Parc Expo,48.81673,2.30615,Malakoff,122 Avenue Pierre Brossolette,Paris
821,Kyriad Paris 18 - Porte Clignancourt - M,48.89699,2.34547,Paris,78 Boulevard Ornano,Paris
822,Ibis Styles Colombes Paris,48.9342,2.25852,Colombes,1 Rue Albert Camus,Paris
823,De L Abbaye St Germain,48.85008,2.33054,Paris,10 Rue Cassette,Paris
824,Ibis Styles Pantin,48.89023,2.39929,Pantin,"22 Avenue Jean Lolive, Building B",Paris
825,Emile,48.85537,2.36126,Paris,2 Rue Malher,Paris
826,Ibis Budget Meudon,48.8173,2.24883,Meudon,3 Bis Rue De Paris,Paris
827,Timhotel Paris Gare Montparnasse,48.84296,2.32124,Paris,22 Rue De Larrivee,Paris
828,Kyriad Villeneuve Saint Georges,48.76111,2.44558,Villeneuve-St-Georges,"11, 15 Rue Louis Armand",Paris
829,Agenor,48.83683,2.32401,Paris,Rue Cels 22,Paris
830,Premiere Classe La Ville-Du-Bois,48.65216,2.27118,La Ville Du Bois,Zac Des Graviers - Allee Saint Fiacre,Paris
831,The Originals City Hotel La Verriere,48.7589,1.95032,La Verriere,"Rue Louis Lormand, 78-Yvelines France",Paris
832,L Interlude,48.83643,2.40414,Paris,258 Avenue Daumesnil,Paris
833,Holiday Inn Express Paris - Velizy,48.77877,2.21245,Velizy Villacoublay,"""51 Avenue De LEurope""",Paris
834,Marignan Champs Elysees,48.8685,2.30647,Paris,12 Rue De Marignan,Paris
835,Hotel Marena Opera,48.87917,2.34306,Paris,27 Rue De La Tour D Auvergne,Paris
836,Bw Anjou Lafayette Opera,48.87611,2.34652,Paris,4 Rue Riboutte  Sq Montholon,Paris
837,Le Belgrand Htl Par Champs Elysees Tapes,48.87002,2.29081,Paris,51 Rue Lauriston,Paris
838,Ibis Budget Velizy,48.78216,2.22601,Velizy Villacoublay,"1, Rue Du Petit Clamart",Paris
839,Premiere Classe Le Blanc Mesnil,48.95116,2.46675,Le Blanc-Mesnil,Avenue Descartes,Paris
840,The Villa Modigliani,48.8416,2.32792,Paris,13 Rue Delambre,Paris
841,Residence Nell,48.8741,2.34263,Paris,60 Rue Richer,Paris
842,Quorum Hotel,48.8427,2.20731,Saint Cloud,2 Boulevard De La Republique,Paris
843,B&B Hotel Cergy Pierrelaye,49.0226,2.14143,Pierrelaye,Rn 14 Za La Porte Ouest,Paris
844,Le Grand Mazarin,48.85341,2.3488,Paris,17 Rue De La Verrerie,Paris
845,Ibis Budget Paris Gennevilliers,48.94206,2.30494,Gennevilliers,"5 Avenue Des Louvresses, Zac Des Louvresses",Paris
846,Esteem Tour Eiffel,48.84813,2.28728,Paris,9 Rue Ginoux,Paris
847,Arc Porte D Orleans,48.81759,2.32425,Paris,11 Rue Gabriel Peri,Paris
848,Hotel Londres Et New York,48.8753,2.32636,Paris,15 Place Du Havre,Paris
849,Trendy Canettes Hotel,48.85198,2.33375,Paris,17 Rue Des Canettes,Paris
850,Jeanne D Arc Le Marais,48.85558,2.36322,Paris,3 Rue De Jarente,Paris
851,Terrass Hotel,48.88654,2.3332,Paris,"12 Rue Joseph De Maistre, 18 Arrondissement Montmartre",Paris
852,Aparthotel Adagio La Defense Kleber,48.89428,2.24864,Courbevoie,73 Avenue Gambetta,Paris
853,Mercure Paris La Defense Arche,48.89567,2.22315,Nanterre,17 Esplanade Charles De Gaulle,Paris
854,Zenao Appart Hotel Alfortville,48.8037,2.4234,Alfortville,54 Rue Victor Hugo,Paris
855,Hotel Villa Sorel,48.83545,2.24298,Boulogne Billancourt,20 Rue Georges Sorel,Paris
856,Hotel De L Exposition,48.86903,2.36285,Paris,4 Boulevard De Magenta,Paris
857,"Comfort Aparthotel Versailles,St Cyr",48.80668,2.05311,Saint Cyr L Ecole,68 Rue Gabriel Peri,Paris
858,Best Western Paris Porte De Versailles,48.82349,2.27457,Issy Les Moulineaux,11 Bis Avenue Jean Jaures,Paris
859,Hotel Design Sorbonne,48.84812,2.34252,Paris,6 Rue Victor Cousin,Paris
860,Moxy Paris Charles De Gaulle Airport,49.00735,2.54755,Paris,5 Rue Du Signe,Paris
861,Hotel Le National Clichy Paris,48.90453,2.30477,Clichy,32 Bd Jean Jaures,Paris
862,"Tribute Le Parchamp, Paris Boulogne",48.84023,2.23548,Boulogne-Billancourt,"114 Route De La Reine,, 46 Rue De Billancourt",Paris
863,Hotel Jules And Jim,48.86359,2.35737,Paris,11 Rue Des Gravilliers,Paris
864,Hotel Elysees Opera,48.88148,2.32446,Paris,17 Rue De Turin,Paris
865,Aparthotel Adagio Paris Montrouge,48.82009,2.31131,Montrouge,96 Rue Gabriel Peri,Paris
866,Airelles Le Grand Controle,48.80134,2.11993,Versailles,12 Rue De Independance Americaine,Paris
867,Hotel Helussi,48.87789,2.34696,Paris,22 Bis Rue De Bellefond,Paris
868,Melia Paris Champs Elysees,48.86874,2.28288,Paris,"102 Avenue Victor Hugo, Distrito 16",Paris
869,All Suites Appart Hotel Noisy Le Grand,48.84046,2.54131,Noisy-Le-Grand,3 Boulevard Du Mont D Est,Paris
870,Hotel Therese,48.86585,2.33614,Paris,5 Rue Therese,Paris
871,Chateau De L Hermitage,49.06246,2.11367,Ennery,8 Rue Du Parc,Paris
872,Hotel De Lutece,48.85244,2.35466,Paris,65 Rue Saint Louis,Paris
873,Ibis Styles Paris Gare Est,48.87921,2.36222,Paris,1 Et 3 Rue De Chateau Landon,Paris
874,Ibis Styles Bourg La Reine,48.78073,2.31576,Bourg La Reine,82 Av General Leclerc,Paris
875,Yuna Maillot Hotel Apartments,48.88662,2.28577,Paris,48 Rue Jacques Ibert,Paris
876,Mercure Paris Arc De Triomphe Wagram,48.87604,2.29616,Paris,3 Rue Brey,Paris
877,Hotel Paris Gennevilliers,48.933,2.30395,Gennevilliers,6 Avenue Du General De Gaulle,Paris
878,Hotel Arc De Triomphe Etoile,48.87654,2.2964,Paris,"""3, Rue De LEtoile""",Paris
879,Novotel Suites Paris Issy-Les-Moulineaux,48.82901,2.26338,Paris,86 Rue Camille Des Moulins,Paris
880,Adagio Access St Denis Pleyel,48.91835,2.34255,Saint Denis,10 Rue Du Docteur Finot,Paris
881,Hotel Dalila,48.89657,2.34363,Paris,51 Rue Letort,Paris
882,Premiere Classe St Quentin En Yvelines,48.76215,1.97446,Trappes,"65 Bis Avenue Georges Politzer, Za De Trappes Elancourt",Paris
883,Ibis Styles Paris Boulogne Marcel Sembat,48.83351,2.24436,Boulogne Billancourt,92 Boulevard De La Republique,Paris
884,Fauchon L Hotel Paris,48.87042,2.32358,Paris,4 Boulevard Malesherbes,Paris
885,Les Tournelles,48.85697,2.36455,Paris,30 Rue De Turenne,Paris
886,Hotel Istria,48.83909,2.32943,Paris,29 Rue Campagne Premiere,Paris
887,Hotel Westminster,48.8694,2.33116,Paris,13 Rue De La Paix,Paris
888,Melia Paris La Defense,48.88854,2.25076,Courbevoie,"3, Boulevard De Neuilly",Paris
889,Hotel De L Arcade,48.87162,2.32349,Paris,9 Rue De L Arcade,Paris
890,Hotel Bassano,48.869,2.29719,Paris,15 Rue De Bassano,Paris
891,Porte De Versailles Hotel,48.83511,2.2825,Paris,"11,Boulevard Victor",Paris
892,B&B Hotel Lieusaint Carre Senart 3 Etoil,48.63771,2.54257,Lieusaint,Rue Du Danemark,Paris
893,Hotel Le Saint Gregoire,48.84717,2.32595,Paris,43 Rue De Labbe Gregoire,Paris
894,Laz Hotel Spa Urbain Paris,48.87869,2.32765,Paris,17 Rue De Milan,Paris
895,Ze Hotel Paris,48.87891,2.34486,Paris,10 Rue De La Tour D Auvergne,Paris
896,Courcelles Mederic,48.88019,2.30256,Paris,4 Rue Mederic,Paris
897,Hotel Plaza Etoile,48.8761,2.29645,Paris,21 Avenue De Wagram,Paris
898,Voco Porte De Clichy,48.898,2.31009,Clichy,2 Rue Du 8 Mai 1945,Paris
899,Hotel L Eaubonne,48.9927,2.2832,Eaubonne,16 B Avenue De Paris,Paris
900,Chavanel Hotel,48.87218,2.32627,Paris,22 Rue Tronchet,Paris
901,Ibis Paris 17 Clichy-Batignolles,48.89215,2.31489,Paris,10 Rue Bernard Buffet,Paris
902,Patio Bastille,48.84934,2.39044,Paris,289 Bis Rue Du Faubourg Saint Antoine,Paris
903,Sofitel Le Scribe Paris Opera,48.87057,2.32973,Paris,1 Rue Scribe,Paris
904,Mama Shelter Paris La Defense,48.88547,2.25005,Puteaux,10 Rue Jean Jaures,Paris
905,Hotel Maison 46,48.84583,2.29839,Paris,46 Rue De La Croix Nivert,Paris
906,Ibis Styles Paris Massena,48.82364,2.37148,Paris,82 84 Rue Regnault,Paris
907,The People Paris Bercy,48.83903,2.39251,Paris,28 Boulevard De Reuilly,Paris
908,Villa Sopi Appart Hotel By Patrick Hayat,48.87981,2.34506,Paris,29 Rue Condorcet,Paris
909,Hotel Chateaudun Opera,48.87618,2.33691,Paris,30 Rue Chateaudun,Paris
910,La Fantaisie,48.87542,2.34347,Paris,24 Rue Cadet,Paris
912,Mercure Paris Place Italie,48.83019,2.35288,Paris,25 Boulevard Blanqui,Paris
913,Hotel Adele Et Jules,48.87216,2.3453,Paris,2 Et 4 Bis Cite Rougemont,Paris
914,Novotel Paris Centre Bercy,48.83878,2.38076,Paris,85 Rue De Bercy,Paris
915,Hotel Vivaldi,48.88297,2.24071,Puteaux,5 Rue Roque De Fillol,Paris
916,Premiere Classe Melun-Vert Saint Denis,48.56668,2.63329,Vert-St-Denis,"270 Avenue De L Europe, Zae Jean Monnet",Paris
917,Hotel Square Louvois,48.86841,2.33683,Paris,12 Rue De Louvois,Paris
918,Campanile Chaville - Pont De Svres,48.8133,2.19261,Chaville,"1 Parvis Robert Schuman, 885 Avenue Roger",Paris
919,Hotel Albert 1Er,48.88154,2.17851,Rueil-Malmaison,20 Avenue Albert 1Er,Paris
920,Miiro Le Grand Hotel Cayre,48.85534,2.3255,Paris,4 Boulevard Raspail,Paris
921,Campanile Nature - Taverny,49.01554,2.21943,Taverny,"Centre Commercial Les Portes De Taverny A 115, 1 Rue Theroigne De Mericourt",Paris
922,Grand Coeur Latin,48.84815,2.34198,Paris,20 Rue Cujas,Paris
923,Jills Hotel,48.87251,2.35516,Paris,61 Rue De Chateau D Eau,Paris
924,B&B Hotel Paris Porte D'Orleans,48.82048,2.32249,Montrouge,53-55 Boulevard Romain Rolland,Paris
925,Hotel Park Lane,48.87453,2.31879,Paris,"4, Rue De La Boetie",Paris
926,Timhotel Le Louvre,48.86224,2.33947,Paris,4 Rue Croix Des Petits Champs,Paris
927,Hotel Pas De Calais,48.85377,2.33009,Paris,59 Rue Des Saints Peres,Paris
928,Hotel Mathis Paris,48.87005,2.31131,Paris,3 Rue De Ponthieu,Paris
929,Hotel Louvre Saint-Honore,48.86179,2.34066,Paris,141 Rue Saint Honore,Paris
930,Elysee Etoile Paris,48.87663,2.29626,Paris,"""5 Rue De LEtoile""",Paris
931,Residhome Paris Asnieres Park,48.91925,2.31592,Asnieres,3 Rue Maria Montessori,Paris
932,Hotel Saint Paul Rive Gauche,48.84966,2.34017,Paris,43 Rue Monsieur Le Prince,Paris
933,Tribe Paris Suresnes,48.87071,2.23219,Suresnes,33 Quai Gallieni,Paris
934,New Hotel Le Voltaire,48.85837,2.3817,Paris,3 Rue Petion,Paris
935,Hotel Britannique,48.85826,2.34638,Paris,20 Avenue Victoria,Paris
936,Adagio Paris Bercy,48.83207,2.38748,Paris,1-7 Cours Du Minervois,Paris
937,Des Bains,48.84137,2.3262,Paris,33 Rue Delambre,Paris
938,Ibis Paris Porte D'Orleans,48.81736,2.3294,Montrouge,33 Rue Barbes,Paris
939,B&B Hotel Corbeil Essonnes,48.61066,2.46031,Corbeil-Essonnes,3 Avenue Du 8 Mai 1945,Paris
940,Le Jardin De Verre By Locke,48.84364,2.35368,Paris,7 Rue Lacepede,Paris
941,Hotel Le A,48.87239,2.30892,Paris,4 Rue D Artois,Paris
942,Ibis Paris Ornano Montmartre,48.89703,2.3454,Paris,70 Bis Boulevard Ornano,Paris
943,Le Senat Hotel,48.8491,2.33971,Paris,10 Rue De Vaugirard,Paris
944,Citizenm Paris La Defense,48.89412,2.23003,Nanterre,194 Jardin De L Arche,Paris
945,Paris Art Hotel By Malone,48.84741,2.35239,Paris,1 Rue Des Ecoles,Paris
946,Residence Des Arts Hotel Paris,48.85353,2.3424,Paris,14 Rue Git Le Coeur,Paris
947,Campanile Villepinte,48.96102,2.55301,Villepinte,2-8 Rue Jean Fourgeaud,Paris
948,B&B Hotel Goussainville Cdg,49.01881,2.46205,Goussainville,17 Rue Le Corbusier,Paris
949,Chambiges Elysees Hotel,48.86686,2.30387,Paris,8 Rue Chambiges,Paris
950,Hotel Folie,48.85369,2.38813,Paris,12 Rue Leon Frot,Paris
951,M Social Hotel Paris,48.87247,2.33757,Paris,12 Boulevard Haussmann,Paris
952,Ibis Paris Tour Montparnasse 15Th Hotel,48.84341,2.32025,Paris,22 Avenue Du Maine,Paris
953,Secret De Paris Hotel & Spa,48.88137,2.32829,Paris,2 Rue De Parme,Paris
954,Le Dauphin,48.88352,2.24368,Puteaux,"45, Rue Jean Jaures",Paris
955,Hotel D'Alsace,48.87576,2.35743,Paris,85 Boulevard De Strasbourg,Paris
956,Timhotel Paris Gare De Lyon,48.84679,2.37021,Paris,3 Rue D Austerlitz,Paris
957,Hotel Etoile Maillot,48.87557,2.28367,Paris,Avenue Malakoff 143,Paris
958,Bonne Nouvelle,48.86934,2.34952,Paris,17 Rue Beauregard,Paris
959,Adagio Access Paris Nanterre,48.89237,2.18811,Nanterre,110 Rue Henri Barbusse,Paris
960,Premiere Classe Paris - Rosny Sous Bois,48.87839,2.47549,Rosny-Sous-Bois,"3 Rue De Lisbonne, Zac De Nanteuil",Paris
961,Hotel D Angleterre Saint Germa,48.85582,2.33325,Paris,44 Rue Jacob,Paris
962,Adagio Paris Xv,48.83112,2.28234,Paris,20 Rue D Oradour Sur Glane,Paris
963,Quality Suites Maisons-Laffitte Paris Ou,48.94569,2.15219,Maisons Laffitte,16-18 Rue De Paris,Paris
964,Shangri-La Paris,48.8637,2.29339,Paris,10 Avenue D Iena,Paris
965,Timhotel Palais Royal,48.86643,2.33987,Paris,3 Rue De La Banque,Paris
966,Hotel Jardin De Villiers,48.88403,2.31499,Paris,18 Rue Claude Pouillet,Paris
967,Brit Hotel Privilege Paris - Rosny,48.87772,2.47569,Rosny-Sous-Bois,2 Rue De Lisbonne,Paris
968,Hotel Lautrec Opera,48.87106,2.33883,Paris,8-10 Rue D Amboise,Paris
969,Motel One Paris-Versailles,48.82995,2.28514,Paris,5 Rue Du 4 Septembre,Paris
970,Hotel Michelet Odeon,48.84975,2.3382,Paris,6 Place De L Odeon,Paris
971,Hotel Monsieur And Spa,48.87354,2.32173,Paris,62 Rue Des Mathurins,Paris
972,Ibis Paris Porte De Montreuil,48.85455,2.41555,Paris,2 Avenue Du Professeur Andre Lemierre,Paris
973,Residhome Paris Opera,48.87475,2.32909,Paris,30 Rue Joubert,Paris
974,Premiere Classe Versailles-St Cyr,48.7972,2.05859,St-Cyr,Rue Du Pont De Dreux,Paris
975,Hotel Roi Soleil Prestige Plaisir,48.80085,1.96252,Plaisir,1277 Avenue Du Pressoir,Paris
976,Eugenie,48.85326,2.34204,Paris,31 Rue Saint Andre Des Arts,Paris
977,Ibis Budget Marne La Vallee Es,48.86205,2.67376,St Thibault Des Vignes,33 Avenue St Germain Des Noyer,Paris
978,Nh Collection Ponthieu Champs-Elysees,48.87086,2.30924,Paris,24 Rue De Ponthieu,Paris
979,Bobo S Hotel,48.82329,2.32611,Paris,108 Boulevard Jourdan,Paris
980,Maison Villeroy,48.86525,2.30477,Paris,33 Rue Jean Goujon,Paris
981,Les Demeures De Varennes,48.67863,2.56062,Varennes Jarcy,2 Rue De Brie,Paris
982,Citadines Montmartre Paris,48.88519,2.33117,Paris,"16, Avenue Rachel",Paris
983,Mercure Paris La Defense,48.89568,2.25111,Courbevoie,"30 Rue Baudin, Place Charras",Paris
984,Timhotel Paris Gare Du Nord,48.87952,2.35567,Paris,37 Rue De Saint Quentin,Paris
985,B&B Hotel Paris Clichy-Sous-Bois 3 Etoil,48.90572,2.55097,Clichy Sous Bois,1 Allee Etienne Laurent,Paris
986,Residhome Paris Clamart,48.79257,2.27259,Clamart,Passage Du Panorama,Paris
987,Adagio Access Paris Porte De Charenton,48.82925,2.40122,Charenton Le Pont,201 203 Rue De Paris,Paris
988,Hotel Acadia - Astotel,48.8733,2.3437,Paris,4 Rue Geoffroy Marie,Paris
989,Le Vert Galant,48.83225,2.35042,Paris,43 Rue Croulebarbe,Paris
990,Maison Barriere Vendome Paris,48.86578,2.32817,Paris,17 Rue Du Mont Thabor,Paris
991,New Hotel Opera,48.87974,2.32873,Paris,4 Rue De Liege,Paris
992,Leonardo Boutique Paris Opera,48.87178,2.34461,Paris,Cite Bergere 8,Paris
993,Lyric Hotel,48.869,2.33679,Paris,2 Rue De Gramont,Paris
995,Tulip Residences Joinville-Le-Pont,48.82,2.47583,Joinville Le Pont,"16, Avenue Du General Galieni",Paris
996,Ibis Paris Alesia Montparnasse 14Th,48.82744,2.32103,Paris,49 Rue Des Plantes,Paris
997,Kyriad Prestige Asnieres Sur Seine,48.91902,2.31296,Asnieres-Sur-Seine,2 Avenue De La Paix,Paris
998,Ibis Nanterre La Defense,48.88832,2.21261,Nanterre,36 38 Avenue Des Champs Pierreux,Paris
999,Best Western Aramis Saint Ger,48.84673,2.3264,Paris,124 Rue De Rennes,Paris
1000,Adagio Access Defense Vinci,48.89686,2.23468,Courbevoie,88 Rue Des Etudiants,Paris
1001,Ibis Gare Nord Chateau Landon,48.88091,2.36279,Paris,197/199 Rue Lafayette,Paris
1002,Campanile Nature-Cergy St. Christophe,49.05574,2.03657,Cergy,"12 Rue Du Petit Albi, Parc D Activites De L Horloge",Paris
1003,Hotel Saint Marc,48.87081,2.33822,Paris,36 Rue Saint Marc,Paris
1004,Hotel Des Saints Peres,48.85341,2.32991,Paris,65 Rue Des Saints Peres,Paris
1005,Hotel Rose Bourbon,48.84398,2.28872,Paris,53 Rue De L Eglise,Paris
1006,Hotel Fabric,48.86306,2.37286,Paris,31 Rue De La Folie Mericourt,Paris
1007,Louvre Sainte Anne,48.86647,2.33575,Paris,"32, Rue Sainte Anne",Paris
1008,Bridget,48.86907,2.39537,Paris,258 Rue Des Pyrenees,Paris
1009,Hotel Fontaines Du Luxembourg,48.84902,2.34011,Paris,4 Rue De Vaugirard,Paris
1010,Hotel De L Esperance,48.83815,2.3496,Paris,15 Rue Pascal,Paris
