,hotel_name,latitude,longitude,city_name,address_lines,search_city
518,Comfort Hotel Linas - Montlhery,48.62973,2.2625,Linas Montlhery,10 Avenue Ettore Bugatti,Paris
519,Htl Le Relais St Honore,48.86519,2.33158,Paris,308 Rue Saint Honore,Paris
520,La Bourdonnais By Inwood,48.85499,2.3046,Paris,111 Avenue De La Bourdonnais,Paris
521,B&B Hotel Saclay,48.71409,2.17118,91190,Rn 118 Plateau Du Moulon,Paris
522,Hotel Prince De Conti,48.85568,2.33841,Paris,8 Rue Guenegaud,Paris
523,Hotel Le 5 Particulier,48.87942,2.27496,Neuilly Sur Seine,5 Rue Paul Deroulede,Paris
524,Clairefontaine,48.83597,2.32534,Paris,11 Rue Fermat,Paris
525,Williams Opera,48.87684,2.34577,Paris,3 Rue Mayran,Paris
526,Clarisse,48.82899,2.30053,Paris,"159, Boulevard Lefebvre",Paris
527,Ibis Acheres,48.97232,2.08034,Acheres,"2 Avenue Jacques Chirac, Building B",Paris
528,Maison Saintonge,48.86182,2.36262,Paris,"16, Rue De Saintonge",Paris
529,Hotel Montaigne,48.86552,2.30387,Paris,6 Avenue Montaigne,Paris
530,Exe Panorama,48.8762,2.35,Paris,"Rue Des Messageries, 9",Paris
531,Grand Hotel Des Gobelins,48.83757,2.35503,Paris,57 Blvd Saint Marcel,Paris
532,Hotel Madame Reve,48.86474,2.343,Paris,48 Rue Du Louvre,Paris
533,Hotel Crayon,48.86398,2.34144,Paris,25 Rue Du Bouloi,Paris
534,Og Marne La Vallee Est Meaux,48.94574,2.86974,Villenoy,27 Rue Jean Pierre Plicque,Paris
535,Hotel Gabbie,48.87268,2.30206,Paris,9 Rue Washington,Paris
536,Boudoir Des Muses,48.86135,2.36205,Paris,6 Rue De Saintonge,Paris
537,Madeleine Haussmann,48.87179,2.32331,Paris,10 Rue Pasquier,Paris
538,Hotel Le Friedland,48.87509,2.30484,Paris,177 Rue Du Faubourg Saint-Hono,Paris
539,Hotel Brighton,48.86484,2.329,Paris,218 Rue De Rivoli,Paris
540,D Orsay,48.70421,2.18916,Orsay,2 Rue Francois Leroux,Paris
541,Bw Plus 61 Paris Nation Hotel,48.84644,2.41041,Paris,61 Rue De La Voute,Paris
542,Hotel Madame Drouot,48.87392,2.34059,Paris,19 Rue Drouot,Paris
543,Hotel Mode Paris Aparthotel,48.8712,2.28729,Paris,4-6 Rue Leroux,Paris
544,Hotel Du Lion,48.83338,2.33196,Paris,1 Avenue D General Leclerc,Paris
545,Hotel Miramar,48.84229,2.32026,Paris,6 Place Bienvenue,Paris
546,Moderniste,48.83582,2.2924,Paris,5 Rue De Langeac,Paris
547,Hotel Arioso,48.87465,2.31683,Paris,7 Rue D Argenson,Paris
548,Hotel De Jobo,48.85546,2.36193,Paris,"8, Rue De, ""Sevigne To 10 Rue DOrmesson""",Paris
549,Hotel De La Jatte,48.894,2.26633,Neuilly Sur Seine,4 Boulevard Du Parc,Paris
550,Hotel Sleeping Belle,48.84661,2.36974,Paris,234 Rue De Bercy,Paris
551,Solly Hotel,48.86751,2.35401,Paris,4 Rue Salomon De Caus,Paris
552,Hotel B55 Paris,48.82598,2.34214,Paris,55 Rue Boussingault,Paris
553,Grand Hotel Leveque,48.85744,2.30618,Paris,29 Rue Cler,Paris
554,L Exposition Tour Eiffel,48.84881,2.28815,Paris,42 Bis Rue Du Theatre,Paris
555,Kyriad Eco - Marne-La-Valle,48.85345,2.66607,St-Thibault-Des-Vignes,"Rue De L Etang De Loy, Marne La Vallee",Paris
556,Hotel Etoile Trocadero,48.86617,2.28713,Paris,21 Rue Saint Didier,Paris
557,Appartcity Paris 13,48.82785,2.37961,Paris,70 Avenue De France,Paris
558,Diese Hotel Bastille,48.85504,2.38654,Paris,131 Rue De Charonne,Paris
560,Relais Christine,48.85443,2.33998,Paris,3 Rue Christin,Paris
561,Hotel Villa Des Ambassadeurs,48.86531,2.29052,Paris,6 Rue Bouquet De Longchamp,Paris
562,Ibis Paris Porte De Bercy,48.82515,2.39397,Charenton Le Pont,2 Place De L Europe,Paris
563,Green Hotels Confort Roissy,48.97703,2.51118,Tremblay En France,62 Rue De La Perdrix,Paris
564,Ibis Budget Paris Pte Vincenne,48.84933,2.41638,Paris,2 Avenue Leon Gaumont,Paris
565,Hotel Antin Saint Georges,48.87797,2.33786,Paris,21 Rue Notre Dame De Lorette,Paris
566,Bob Hotel,48.83349,2.31899,Paris,30 Rue Pernety,Paris
567,B&B Hotel Creteil,48.76752,2.46447,Creteil,4 Rue Daniel Costantini,Paris
568,Les Jardins De Saint Cloud,48.84393,2.22168,Saint Cloud,15 Rue Dantan,Paris
569,Ibis Paris Brancion Expo 15Eme,48.83024,2.30202,Paris,105 Rue Brancion,Paris
570,Paris D Issy Hotel Porte De Versailles,48.82349,2.27294,Issy Les Moulineaxu,4 Rue Auguste,Paris
571,Castille Paris Starhotels Lvx,48.86832,2.32686,Paris,33-37 Rue Cambon,Paris
572,Maison Athenee,48.87137,2.32805,Paris,19 Rue Caumartin,Paris
573,Mercure Montmartre Sacre Coeur,48.88527,2.33007,Paris,3 Rue Caulaincourt,Paris
574,Le Belmont Paris,48.86924,2.29784,Paris,30 Rue De Bassano,Paris
575,Hotel Opera Richepanse,48.86872,2.32521,Paris,14 R Chevalier St George,Paris
576,Manoir Saint Germain Des Pres Hotel,48.85378,2.33232,Paris,153 Boulevard Saint Germain,Paris
577,Mama Shelter Paris East,48.85978,2.40284,Paris,109 Rue De Bagnolet,Paris
578,Tulip Htl & Resid-Marne-La-Vallee Torcy,48.8387,2.65752,Torcy,3 Avenue Jean Moulin,Paris
579,Hotel Paradiso,48.84824,2.39331,Paris,135 Boulevard Diderot,Paris
580,Hotel Andre Latin,48.84288,2.34261,Paris,50 Rue Gay Lussac,Paris
581,Renaissance Paris La Defense,48.89258,2.23292,Paris,60 Jardin De Valmy,Paris
582,Best Western Hotel Journel Paris Sud,48.65695,2.40538,Ris Orangis,8 Rue Du Clos,Paris
583,Hotel Leopold,48.8401,2.33063,Paris,225 Boulevard Raspail,Paris
584,B&B Hotel Massy Gare Tgv,48.72254,2.27039,Massy,15 Rue Galvani,Paris
585,Libertel Gare De L'Est Francais,48.87619,2.35706,Paris,13 Rue Du 8 Mai 1945,Paris
586,Paris Bastille,48.85096,2.36994,Paris,67 Rue De Lyon,Paris
587,Hotel Monceau Wagram,48.88087,2.29895,Paris,7 Rue Rennequin,Paris
588,Mercure Mlv Bussy St Georges,48.83849,2.71098,Bussy Saint Georges,44 Boulevard Antoine Giroust,Paris
