poi_name,poi_type,poi_lat,poi_lon
Eiffel Tower,landmark,48.8584,2.2945
Louvre Museum,museum,48.8606,2.3376
Notre-Dame Cathedral,religious,48.853,2.3499
Arc de Triomphe,landmark,48.8738,2.295
Sacré-Cœur,religious,48.8867,2.3431
Musée d'Orsay,museum,48.86,2.3266
Centre Pompidou,museum,48.8606,2.3522
Luxembourg Gardens,park,48.8462,2.3372
Sainte-Chapelle,religious,48.8554,2.345
Panthéon,monument,48.8462,2.346
